crop_disease,Disadvantages,First_Aid_Short_Term,First_Aid_Long_Term,Pesticides/ Treatments,Maintenance_Recommendations
Apple_scab,Reduces yield and quality; scabby spots on fruits make them unmarketable.,Remove and destroy infected leaves and fruits.,Plant resistant varieties; ensure proper pruning for air circulation.,"Apply fungicides containing captan, mancozeb, or myclobutanil.",Regular pruning and maintaining good orchard hygiene.
Apple_Blackrot,"Causes dark, sunken lesions on fruit and twig death, reducing fruit yield.",Prune affected areas and remove infected fruits.,Use resistant varieties and manage moisture.,Apply fungicides such as thiophanate-methyl or mancozeb.,Ensure good air circulation; avoid overhead irrigation.
Apple_CedarRust,"Yellow-orange lesions on leaves, fruit, and branches; stunts growth and reduces yield.",Prune infected branches and remove fallen debris.,Plant resistant varieties and prune regularly.,Apply fungicides like chlorothalonil or myclobutanil.,Prune affected areas and maintain good orchard hygiene.
Apple_healthy,No symptoms or diseases.,No treatment needed.,Maintain general good plant health practices.,None required.,Regular monitoring and care.
Bellpepper_BacterialSpot,"Causes lesions on leaves and fruit, leading to poor yield and quality.",Remove infected plant parts.,Grow resistant varieties.,Apply copper-based bactericides or oxytetracycline.,Maintain proper spacing and air circulation.
Bellpepper_Healthy,No symptoms or diseases.,No treatment needed.,Maintain good soil fertility.,None required.,Ensure proper watering and pest control.
Cashew_anthracnose,"Causes lesions on leaves, stems, and fruits, leading to poor nut yield.",Remove and destroy affected parts.,Use resistant varieties and remove fallen leaves.,Apply fungicides like carbendazim or copper oxychloride.,Regular pruning and proper sanitation.
Cashew_gumosis,"Causes gum exudation from bark and twigs, weakening trees and reducing yields.",Cut back affected branches and destroy them.,Ensure good drainage and prune regularly.,Apply systemic fungicides like hexaconazole or propiconazole.,Improve drainage and reduce tree stress.
Cashew_leafminer,"Larvae feed on leaves, causing significant damage and reducing tree health.",Remove affected leaves.,Plant resistant varieties.,Use insecticides like dimethoate or deltamethrin.,Maintain good tree health with proper watering and fertilization.
Cashew_healthy,No symptoms or diseases.,No treatment needed.,Regular care and maintenance.,None required.,Routine monitoring for pests and diseases.
Cashew_RedRust,"Causes reddish-brown lesions on leaves, affecting photosynthesis and reducing yields.",Prune affected parts and remove infected leaves.,Grow resistant varieties.,Apply fungicides like tebuconazole or mancozeb.,Proper pruning and irrigation management.
Cassava_bacterialblight,"Causes wilting, yellowing, and plant death, reducing yield.",Remove infected plants and destroy them.,Use resistant varieties and practice crop rotation.,Apply copper-based bactericides.,Regular inspection and removal of infected plants.
Cassava_GreenMite,"Causes leaf yellowing, stunted growth, and reduced yield.",Spray water on leaves to dislodge mites.,Introduce natural predators like lady beetles.,Apply acaricides like abamectin or sulfur-based sprays.,Maintain field hygiene and ensure proper irrigation.
Cassava_brownspot,"Leads to yellow spots and tissue death, reducing yield and quality.",Remove infected leaves and plant parts.,Use resistant varieties and ensure proper spacing.,Apply fungicides containing mancozeb or copper.,Maintain proper soil fertility and spacing.
Cassava_mosaic,"Causes stunting, leaf curl, and yellowing, leading to poor yield.",Remove infected plants.,Use resistant varieties and control aphids.,"No effective chemical treatment, focus on aphid control.",Plant virus-free cuttings and control vector insects.
Cassava_healthy,No symptoms or diseases.,No treatment needed.,Maintain good plant health practices.,None required.,Proper spacing and pest control.
Cherry_PowderyMildew,"White, powdery fungal growth on leaves and fruit, reducing yield and fruit quality.",Prune affected areas and destroy infected parts.,Grow resistant varieties and use resistant rootstocks.,Apply fungicides like sulfur or myclobutanil.,Maintain air circulation and avoid overhead watering.
Cherry_healthy,No symptoms or diseases.,No treatment needed.,General good care and monitoring.,None required.,Regular monitoring and care.
